"","rules","support","confidence","coverage","lift","count"
"149","{Gemeos=AgachamentoSmith,Afundo=Bicicleta} => {LegPress=Extensor}",0.210526315789474,1,0.210526315789474,2.92307692307692,8
"150","{LegPress=Extensor,Gemeos=AgachamentoSmith} => {Afundo=Bicicleta}",0.210526315789474,0.888888888888889,0.236842105263158,2.81481481481481,8
"151","{Afundo=Bicicleta,Crucifixo=Esteira} => {LegPress=Extensor}",0.263157894736842,1,0.263157894736842,2.92307692307692,10
"152","{LegPress=Extensor,Crucifixo=Esteira} => {Afundo=Bicicleta}",0.263157894736842,0.909090909090909,0.289473684210526,2.87878787878788,10
"153","{LegPress=Extensor,Afundo=Bicicleta} => {Crucifixo=Esteira}",0.263157894736842,0.833333333333333,0.315789473684211,2.63888888888889,10
"154","{LegPress=LegPress,Afundo=} => {Gemeos=}",0.236842105263158,1,0.236842105263158,2.92307692307692,9
"155","{LegPress=LegPress,Gemeos=} => {Afundo=}",0.236842105263158,1,0.236842105263158,2.92307692307692,9
"156","{Gemeos=,Afundo=} => {Crucifixo=}",0.342105263157895,1,0.342105263157895,2.375,13
"157","{Afundo=,Crucifixo=} => {Gemeos=}",0.342105263157895,1,0.342105263157895,2.92307692307692,13
"158","{Gemeos=,Crucifixo=} => {Afundo=}",0.342105263157895,1,0.342105263157895,2.92307692307692,13
"159","{LegPress=LegPress,Afundo=} => {Crucifixo=}",0.236842105263158,1,0.236842105263158,2.375,9
"160","{LegPress=LegPress,Crucifixo=} => {Afundo=}",0.236842105263158,0.75,0.315789473684211,2.19230769230769,9
"161","{LegPress=LegPress,Gemeos=} => {Crucifixo=}",0.236842105263158,1,0.236842105263158,2.375,9
"162","{LegPress=LegPress,Crucifixo=} => {Gemeos=}",0.236842105263158,0.75,0.315789473684211,2.19230769230769,9
"163","{Gemeos= Gemeos,Afundo=Bicicleta,Crucifixo=Esteira} => {LegPress=Extensor}",0.0263157894736842,1,0.0263157894736842,2.92307692307692,1
"164","{LegPress=Extensor,Gemeos= Gemeos,Crucifixo=Esteira} => {Afundo=Bicicleta}",0.0263157894736842,1,0.0263157894736842,3.16666666666667,1
"165","{LegPress=Extensor,Gemeos= Gemeos,Afundo=Bicicleta} => {Crucifixo=Esteira}",0.0263157894736842,1,0.0263157894736842,3.16666666666667,1
"166","{Gemeos=Gemeos,Afundo=Afundo,Crucifixo=Crucifixo} => {LegPress=LegPress}",0.0263157894736842,1,0.0263157894736842,2.71428571428571,1
"167","{LegPress=LegPress,Afundo=Afundo,Crucifixo=Crucifixo} => {Gemeos=Gemeos}",0.0263157894736842,1,0.0263157894736842,6.33333333333333,1
"168","{LegPress=LegPress,Gemeos=Gemeos,Crucifixo=Crucifixo} => {Afundo=Afundo}",0.0263157894736842,1,0.0263157894736842,7.6,1
"169","{LegPress=Afundo,Gemeos=AgachamentoSmith,Afundo=Gemeos} => {Crucifixo=Esteira}",0.0263157894736842,1,0.0263157894736842,3.16666666666667,1
"170","{LegPress=Afundo,Afundo=Gemeos,Crucifixo=Esteira} => {Gemeos=AgachamentoSmith}",0.0263157894736842,1,0.0263157894736842,3.8,1
"171","{LegPress=Afundo,Gemeos=AgachamentoSmith,Crucifixo=Esteira} => {Afundo=Gemeos}",0.0263157894736842,1,0.0263157894736842,19,1
"172","{LegPress=Extensor,Gemeos=AgachamentoSmith,Afundo=Gemeos} => {Crucifixo=Esteira}",0.0263157894736842,1,0.0263157894736842,3.16666666666667,1
"173","{LegPress=Extensor,Afundo=Gemeos,Crucifixo=Esteira} => {Gemeos=AgachamentoSmith}",0.0263157894736842,1,0.0263157894736842,3.8,1
"174","{Gemeos=Flexor,Afundo=Bicicleta,Crucifixo=Esteira} => {LegPress=Extensor}",0.0526315789473684,1,0.0526315789473684,2.92307692307692,2
"175","{LegPress=Extensor,Gemeos=Flexor,Crucifixo=Esteira} => {Afundo=Bicicleta}",0.0526315789473684,1,0.0526315789473684,3.16666666666667,2
"176","{LegPress=Extensor,Gemeos=Flexor,Afundo=Bicicleta} => {Crucifixo=Esteira}",0.0526315789473684,1,0.0526315789473684,3.16666666666667,2
"177","{Gemeos=AgachamentoSmith,Afundo=Bicicleta,Crucifixo=Gemeos} => {LegPress=Extensor}",0.0526315789473684,1,0.0526315789473684,2.92307692307692,2
"178","{LegPress=Extensor,Gemeos=AgachamentoSmith,Crucifixo=Gemeos} => {Afundo=Bicicleta}",0.0526315789473684,1,0.0526315789473684,3.16666666666667,2
"179","{LegPress=Extensor,Afundo=Bicicleta,Crucifixo=Gemeos} => {Gemeos=AgachamentoSmith}",0.0526315789473684,1,0.0526315789473684,3.8,2
"180","{Gemeos=LegPress,Afundo=Afundo,Crucifixo=Bicicleta} => {LegPress=Gemeos}",0.0263157894736842,1,0.0263157894736842,7.6,1
"181","{LegPress=Gemeos,Gemeos=LegPress,Crucifixo=Bicicleta} => {Afundo=Afundo}",0.0263157894736842,1,0.0263157894736842,7.6,1
"182","{LegPress=Gemeos,Afundo=Afundo,Crucifixo=Bicicleta} => {Gemeos=LegPress}",0.0263157894736842,1,0.0263157894736842,12.6666666666667,1
"183","{Gemeos=Gemeos,Afundo=Afundo,Crucifixo=Bicicleta} => {LegPress=LegPress}",0.0263157894736842,1,0.0263157894736842,2.71428571428571,1
